ID,X (m),Y (m),Z (m),Azimuth (°),Elevation (°),Distance (m)
1,-4.994,4.891,1.0,45.596990563904036,8.141428225192339,7.061297118801899
2,-2.391,5.171,1.0,24.815178559988574,9.955714762060122,5.78412672751903
3,-1.43,5.177,1.0,15.441310384353029,10.54710897407468,5.463170233481654
4,1.445,5.038,1.0,-16.00395902658722,10.802115096808333,5.335678869647236
5,2.256,5.042,1.0,-24.105722859016797,10.261567551225196,5.613492673906326
6,4.944,4.926,1.0,-45.10449066746439,8.154058257391371,7.050433461851831
7,5.022,-4.713,1.0,-133.18197701746533,8.261493032012812,6.959371595194498
8,2.795,-4.89,1.0,-150.24880998479293,10.06759458249519,5.7205004151734835
9,1.032,-4.894,1.0,-168.09246244889005,11.3063509862804,5.100613688567289
10,-0.991,-4.901,1.0,168.56871643297038,11.309517763537933,5.099204055536511
11,-2.716,-4.901,1.0,151.00598008937678,10.118913195342794,5.691788558968086
12,-5.064,-4.749,1.0,133.16142104707671,8.19662861735283,7.014064228391411
