ID,X (m),Y (m),Z (m),Azimuth (°),Elevation (°),Distance (m)
1,-17.454,14.685,4.55,49.92427247620322,11.280996685143316,23.259274300803114
2,-14.195,15.964,4.55,41.64311699481444,12.023877668167778,21.84147021150362
3,-9.935,15.964,4.55,31.89556376709476,13.603082955555436,19.34569773877386
4,-5.67,15.968,4.55,19.549195951568038,15.030461958395176,17.54503986886322
5,-1.891,15.956,4.55,6.758792591074304,15.810925749487867,16.699470560469873
6,1.891,15.96,4.55,-6.757114322997245,15.807213293793634,16.703292519739932
7,5.664,15.963,4.55,-19.53572941441501,15.036154296693192,17.53855082382806
8,9.426,15.966,4.55,-30.55673375435239,13.788148411990068,19.090969907262437
9,13.721,15.965,4.55,-40.67716506368642,12.196359765965125,21.53716708390405
10,17.521,14.724,4.55,-49.95754897858629,11.2443085829941,23.334183444037635
11,18.749,11.471,4.55,-58.54090067190245,11.695538897516348,22.44574217975427
12,18.754,7.65,4.55,-67.80881502478762,12.660973481415764,20.75903456329316
13,18.758,3.827,4.55,-78.46879047910522,13.369290171964824,19.677677530643702
14,18.763,0.0,4.55,-90.0,13.631015131824102,19.306803697142623
15,18.768,-3.815,4.55,-101.49005378234355,13.36430694990751,19.68488122900415
16,18.711,-7.65,4.55,-112.23721850313794,12.68510073356507,20.720195969150485
17,18.721,-11.475,4.55,-121.50613261981596,11.706824493259441,22.424405588554627
18,17.538,-14.72,4.55,-130.0074197499847,11.239309526458557,23.344428543016427
19,13.758,-15.982,4.55,-139.27670055684172,12.175590682284337,21.573349021419922
20,9.508,-16.001,4.55,-149.28067385040936,13.736905247984211,19.160808046635193
21,5.733,-15.986,4.55,-160.270831294352,14.998240355682361,17.581865230970234
22,1.956,-15.996,4.55,-173.02844939713523,15.766658782001375,16.74516204758855
23,-1.828,-16.004,4.55,173.48383317792246,15.773250039742841,16.738342211820143
24,-5.613,-16.016,4.55,160.68637337062034,15.008218218402918,17.570444644345226
25,-9.864,-16.084,4.55,148.48003168859907,13.558110715199499,19.408659201500754
26,-14.128,-16.119,4.55,138.76604504546785,11.984735560324035,21.911755863006505
27,-17.381,-14.867,4.55,130.54233301591037,11.251163900142739,23.320149013246034
28,-18.657,-11.613,4.55,121.90008915962845,11.697463037292222,22.44210146131596
29,-18.655,-7.762,4.55,112.59129013365767,12.690606726963049,20.711353625487643
30,-18.657,-3.937,4.55,101.91574048455573,13.421019549997641,19.603217031905757
31,-18.638,-0.128,4.55,90.39348344672412,13.71867982957021,19.185774104789207
32,-18.664,3.689,4.55,78.81941381753249,13.450109680109172,19.56159801754448
33,-18.666,7.508,4.55,68.08859561307109,12.743086646081206,20.6274603381027
34,-18.664,11.354,4.55,58.68630735293239,11.765021111762657,22.315033318370826
35,-14.064,15.605,21.68,42.02674415685339,45.90265978006602,30.18831762453814
36,-5.494,15.615,21.68,19.383971500176408,52.637204738882694,27.276998753528584
37,5.624,15.564,21.68,-19.867154457329956,52.64450786770757,27.27434457507641
38,13.484,15.613,21.68,-40.815179418485556,46.4220405145803,29.92668416313441
39,18.577,11.375,21.68,-58.52018489554376,44.86432560530169,30.73301081898746
40,18.636,3.513,21.68,-79.32466641717602,48.82272652493206,28.803889754684175
41,18.542,-3.91,21.68,-101.90765603615029,48.844365982039776,28.79437903480469
42,18.565,-11.765,21.68,-122.36322675252661,44.607673262695556,30.872266680631018
43,13.792,-15.75,21.68,-138.79193342947673,46.00130269608677,30.13808494247768
44,5.541,-15.73,21.68,-160.59483933484086,52.43062059176423,27.35247668859257
45,-5.588,-15.714,21.68,160.4242846533821,52.4296271200179,27.352841534290363
46,-13.814,-15.69,21.68,138.6382312980227,46.04313972039829,30.11685733937059
47,-18.298,-11.515,21.68,122.18236106292255,45.07977274458958,30.617550996119856
48,-18.287,-3.854,21.68,101.90097397384443,49.2378357669707,28.62324378892092
49,-18.259,3.874,21.68,78.02122872784099,49.27311503273072,28.608064544809736
50,-18.233,11.447,21.68,57.878670710275955,45.20089938606788,30.553207654843703
51,-5.253,14.672,-1.3,19.69883504218265,-4.768504704003046,15.638145446311722
52,-7.388,13.287,-1.3,29.075469143114624,-4.887486197201825,15.258339129800465
53,-9.751,13.297,-1.3,36.2534641294197,-4.507857742243122,16.54032073449605
54,-12.113,13.307,-1.3,42.31074287187626,-4.132120888826424,18.04136962650009
55,11.362,12.962,-1.3,-41.23658233900321,-4.313075222438409,17.285788613771718
56,12.187,12.052,-1.3,-45.319107647066666,-4.3373934989405,17.189056780405373
57,13.462,11.607,-1.3,-49.23193285844695,-4.182979125624033,17.82239863205848
58,14.892,11.612,-1.3,-52.05476444370687,-3.9380792694625835,18.92881950888644
59,17.097,9.776,0.1,-60.23924159887127,0.2909186467682999,19.694861893397476
60,17.135,-9.376,0.1,-118.68677876686932,0.2933334220094785,19.53273152940981
61,-16.717,9.634,0.1,60.045170786541306,0.2969535566697701,19.294611812627895
62,-16.717,-9.417,0.1,119.39337785706887,0.2986162166292009,19.187182648841386
