1	-17,454	14,685	4,550
2	-14,195	15,964	4,550
3	-9,935	15,964	4,550
4	-5,670	15,968	4,550
5	-1,891	15,956	4,550
6	1,891	15,960	4,550
7	5,664	15,963	4,550
8	9,426	15,966	4,550
9	13,721	15,965	4,550
10	17,521	14,724	4,550
11	18,749	11,471	4,550
12	18,754	7,650	4,550
13	18,758	3,827	4,550
14	18,763	0,000	4,550
15	18,768	-3,815	4,550
16	18,711	-7,650	4,550
17	18,721	-11,475	4,550
18	17,538	-14,720	4,550
19	13,758	-15,982	4,550
20	9,508	-16,001	4,550
21	5,733	-15,986	4,550
22	1,956	-15,996	4,550
23	-1,828	-16,004	4,550
24	-5,613	-16,016	4,550
25	-9,864	-16,084	4,550
26	-14,128	-16,119	4,550
27	-17,381	-14,867	4,550
28	-18,657	-11,613	4,550
29	-18,655	-7,762	4,550
30	-18,657	-3,937	4,550
31	-18,638	-0,128	4,550
32	-18,664	3,689	4,550
33	-18,666	7,508	4,550
34	-18,664	11,354	4,550
35	-14,064	15,605	21,680
36	-5,494	15,615	21,680
37	5,624	15,564	21,680
38	13,484	15,613	21,680
39	18,577	11,375	21,680
40	18,636	3,513	21,680
41	18,542	-3,910	21,680
42	18,565	-11,765	21,680
43	13,792	-15,750	21,680
44	5,541	-15,730	21,680
45	-5,588	-15,714	21,680
46	-13,814	-15,690	21,680
47	-18,298	-11,515	21,680
48	-18,287	-3,854	21,680
49	-18,259	3,874	21,680
50	-18,233	11,447	21,680
51	-5,253	14,672	-1,300
52	-7,388	13,287	-1,300
53	-9,751	13,297	-1,300
54	-12,113	13,307	-1,300
55	11,362	12,962	-1,300
56	12,187	12,052	-1,300
57	13,462	11,607	-1,300
58	14,892	11,612	-1,300
59	17,097	9,776	0,100
60	17,135	-9,376	0,100
61	-16,717	9,634	0,100
62	-16,717	-9,417	0,100
