ID,X,Y,Z,Azimuth,Elevation,Distance
1,-2.692,3.678,4.0,126.201,41.27,6.064
2,-6.239,4.134,4.0,146.471,28.122,8.486
4,-10.058,4.107,4.0,157.788,20.213,11.577
4,-12.27,3.771,4.0,162.916,17.308,13.445
5,-12.327,-3.261,4.0,-165.182,17.417,13.364
6,-10.663,-3.557,4.0,-161.552,19.588,11.931
7,-6.767,-3.613,4.0,-151.902,27.539,8.651
8,-2.662,-3.79,4.0,-125.083,40.816,6.12
9,1.05,-4.043,4.0,-75.441,43.759,5.783
10,4.848,-4.101,4.0,-40.228,32.208,7.505
11,8.903,-4.143,4.0,-24.955,22.163,10.603
12,12.597,-4.212,4.0,-18.488,16.76,13.872
13,12.967,-3.55,4.0,-15.311,16.569,14.027
14,13.184,2.543,4.0,10.917,16.589,14.01
15,12.781,3.934,4.0,17.108,16.653,13.958
16,9.071,3.736,4.0,22.385,22.183,10.594
17,5.176,3.651,4.0,35.198,32.273,7.491
18,1.422,3.644,4.0,68.683,45.64,5.595
19,6.276,5.247,4.0,39.897,26.057,9.106
20,6.305,7.377,4.0,49.48,22.401,10.496
21,-11.165,5.394,4.0,154.214,17.879,13.029
22,-11.14,7.613,4.0,145.652,16.513,14.073
23,-4.927,7.492,4.0,123.33,24.041,9.819
24,-4.967,5.372,4.0,132.757,28.666,8.338
25,-15.382,6.534,4.0,156.985,13.46,17.184
26,-14.471,9.084,4.0,147.882,13.176,17.548
27,-11.864,8.133,4.0,145.569,15.541,14.93
28,-12.84,5.445,4.0,157.02,16.003,14.509
