Label,Category,Meaning Sound,From,To
Micro - Macro,PERSPECTIVES,"0 = Micro (Microsphere)
Visual: Subatomic particles, atoms, molecules, cells, microscopic structures invisible to the naked eye. Evokes abstraction, conceptual imagination, and intimacy.
Acoustic: Intimate, delicate, or subtle sounds — biological, mechanical, or domestic activity. Typically quiet, narrow-band, localized, with high-frequency content or short transients.
Spectrum Characteristics: Low energy across most of the spectrum; isolated peaks in high-mid or high frequencies; minimal low-end presence; short duration or impulsive events.
Example Labels:
“Heartbeat (stethoscope)”
“Insect wing flutter”
“Water droplet”
“Keyboard typing”
“Clock tick”
“Cellular vibration (microscopy sonification)”
“Molecular oscillation (spectral data → sound)”
“Atomic transition noise (quantum sonification)”
1 = Macro (Macrosphere)
Visual: Monumental or cosmic scales — aerial views of Earth, planetary motion, stars, galaxies, cosmic background radiation, the expanding universe. Evokes distance, magnitude, sublimity, and power.
Acoustic: Monumental environmental or mechanical sounds — powerful, spatially diffuse, and broadband. Typically loud, with strong low-frequency energy and long decay or reverb tails.
Spectrum Characteristics: Strong presence in low to sub-bass frequencies; broad frequency coverage; sustained energy or dense layering; extended reverberation or atmospheric spread.
Example Labels:
Natural/Environmental: “Volcanic eruption”, “Earthquake rumble”, “Ocean roar”, “Thunderstorm”, “Glacier cracking”
Mechanical/Human-made: “Rocket launch”, “Artillery fire”, “Stadium crowd”, “Fireworks”
Cosmic/Translated Data:
“Cosmic microwave background (radio data → sound)”
“Solar wind particles (plasma data → audio stream)”
“Pulsar signals (radio pulses → rhythm)”
“Planetary resonance (orbital frequencies → drones)”
“Gravitational wave detection (frequency sweeps → low-end oscillation)”
“Galaxy rotation curve (spectral shift → tone clusters)”",Microsphere,Macrosphere
Human - World,PERSPECTIVES,"A normalized, continuous parameter ranging from 0 (Human / Introverse / Humanocosm) to 1 (World / Extraverse / Mesocosm).
This axis describes the direction of perceptual and emotional focus — whether attention is turned inward toward embodied human presence or outward toward the surrounding environment. It allows interpretation of the balance between personal intimacy and environmental immersion across auditory and visual modalities.
0 = Human (Introverse / Humanocosm)
Visual: Skin textures, hair, breath, pulse, sensory organs, bodily gestures, intimate closeness. Evokes introspection, bodily awareness, and tactile presence.
Acoustic: Sounds generated by human action (voice, body, touch, tools, instruments). Characterized by mid-frequency focus, rhythmic or structured temporal patterns, transient detail, or harmonic organization.
Spectrum Characteristics:
Emphasis in 500 Hz – 4 kHz (voice, instruments)
Structured, rhythmic, or patterned articulation
High presence of transients (speech, typing, footsteps)
Example Labels:
Body: “Heartbeat”, “Breath”, “Whispering”, “Clapping”, “Footsteps on wood”
Voice & Culture: “A cappella singing”, “Spoken word”, “Chanting”, “Typing”, “Accordion”, “Banjo”, “Piano”
Visual → Acoustic mappings: “Skin texture → granular rustle”, “Pulse → low throb”, “Blink → soft click”
1 = World (Extraverse / Mesocosm)
Visual: Spatial settings, architecture, landscapes, weather, cityscapes, collective dynamics. Evokes orientation, memory, and the archetypal resonance of the external world.
Acoustic: Sounds from nature, environment, non-human biological sources, and collective urban or social spaces. Typically broadband, irregular, ambient, or diffuse.
Spectrum Characteristics:
Broad spectrum from sub-bass to high frequencies
Irregular, stochastic, or fluid textures (rain, waves, rustling)
Ambient layering, spatial diffusion, reverberant spread
Example Labels:
Nature & Environment: “Birdsong”, “Insect buzzing”, “Bark”, “Wolf howl”, “Rainfall”, “Thunder”, “Wind”, “Ocean surf”, “Fire crackling”
Collective / Social: “Stadium crowd”, “Marketplace buzz”, “City traffic”, “Distant festival”, “Children playing in park”
Spatial / Environmental: “Cathedral reverb”, “Forest ambience”, “Urban square”, “Mountain wind”",Introverse,Extraverse
Earth,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic presence of the element ""earth"" within a soundscape, based on the classical four-element theory. This dimension captures the solid, grounded essence of a sound — whether through literal representations (soil, rock, vegetation, dry surfaces) or symbolic qualities (weight, materiality, rootedness).

0 = No Earth Presence:
Sounds that lack grounded or solid material cues, and instead reflect airborne, liquid, or electronic origins. These sounds evoke lightness, transience, or detachment from physical mass or structure.
Spectrum Characteristics: Bright and clean high frequencies, low percussive energy, minimal low-end presence, airy or electronic textures.
Example Labels: ""Whistling"", ""Glass breaking"", ""Electric toothbrush"", ""Air horn"", ""Laughter"", ""Electronic music"", ""Bubbles""

0.5 = Partial Earth Presence:
Sounds with noticeable material contact — such as wood, dirt, or stone — but combined with other non-earthy components like voice, wind, or water. These sounds suggest a hybrid context where earth is significant but not dominant.
Spectrum Characteristics: Midrange transient weight, moderate low-frequency content, texture-rich impacts (e.g., shoes on gravel, hands on wood), often layered with voice or ambient noise.
Example Labels: ""Footsteps"", ""Basketball bounce"", ""Typing"", ""Construction"", ""Knocking"", ""Door"", ""Rustling""

1 = Full Earth Presence:
Sounds that are dominated by earthy matter — such as soil movement, rockfall, grounded vegetation, or physical interaction with heavy, dry, or mineral surfaces. These evoke density, weight, and material stability.
Spectrum Characteristics: Strong low-mid and low-frequency energy, heavy percussive transients, irregular rhythms typical of shifting matter (gravel, dirt, stone), low-pitched and resonant.
Example Labels: ""Rockslide"", ""Earthquake"", ""Digging"", ""Walking on dirt"", ""Crushing"", ""Chainsaw"", ""Leaves rustling"", ""Wood""",,
Fire,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic presence of the element ""fire"" in a sound. This parameter captures the fiery essence of a sound — whether literal (flames, heat, combustion) or symbolic (intensity, transformation, passion, destruction).

0 = No Fire Presence:
Sounds that lack auditory cues of heat, combustion, or energy associated with fire. These sounds are generally cool, stable, or unheated in nature.
Spectrum Characteristics: Clean or soft timbres, minimal high-frequency crackling or noise, steady energy with no combustion transients.
Example Labels: ""Typing"", ""Rain"", ""Ocean"", ""Electric toothbrush"", ""Speech"", ""Footsteps""

0.5 = Partial Fire Presence:
Sounds that include warmth, heat, or fire-related characteristics but are not dominated by them — such as sparks, cooking, or small flames.
Spectrum Characteristics: Irregular high-mid transients, light crackling or fizz, moderate noise floor, semi-chaotic temporal pattern.
Example Labels: ""Sizzling"", ""Fireplace"", ""Campfire"", ""Candle burning"", ""Roasting""

1 = Full Fire Presence:
Sounds that are dominated by flame, combustion, or intense heat energy. These evoke burning, ignition, or destructive force.
Spectrum Characteristics: Broadband noise with high-mid and treble emphasis, chaotic or bursting transients, crackling textures, hissing energy.
Example Labels: ""Fire crackling"", ""Explosion"", ""Fireworks"", ""Blowtorch"", ""Bonfire""",,
Water,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic presence of water in a soundscape — whether literal (liquid flow, immersion) or symbolic (fluidity, emotion, dissolution).

0 = No Water Presence:
Sounds with no liquid, flowing, or aquatic characteristics. These tend to be dry, solid, or mechanical in nature.
Spectrum Characteristics: Absence of low-frequency bubbling or splashing, sharp or dry transients, minimal ambient modulation.
Example Labels: ""Typing"", ""Electric guitar"", ""Hammer"", ""Glass breaking"", ""Air horn""

0.5 = Partial Water Presence:
Sounds with noticeable water movement or presence, such as splashes, drips, or running water mixed into other environments.
Spectrum Characteristics: Rhythmic splashing or trickling, mid-to-high frequency modulations, dampened transients, flowing patterns.
Example Labels: ""Bathtub filling"", ""Raindrops"", ""Running tap"", ""Washing dishes"", ""Mist""

1 = Full Water Presence:
Sounds dominated by liquid mass, immersion, or aquatic motion — evoking rainstorms, oceans, rivers, or underwater presence.
Spectrum Characteristics: Dense low-mid energy, broadband but smooth, constant flowing noise or rhythmic crashing (e.g., waves).
Example Labels: ""Ocean"", ""Rain"", ""Waterfall"", ""River"", ""Underwater bubbling""",,
Air,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the presence of air, openness, or atmosphere in the sonic domain — whether through literal wind and breath, or symbolic spaciousness, movement, and clarity.

0 = No Air Presence:
Sounds that feel closed, dense, or solid, with little implication of air, openness, or atmospheric flow.
Spectrum Characteristics: Focused or compressed waveforms, dry or boxy acoustics, minimal spatial diffusion.
Example Labels: ""Click"", ""Footsteps"", ""Knocking"", ""Crushing"", ""Chainsaw""

0.5 = Partial Air Presence:
Sounds that include breath, wind, reverberation, or spacious elements, but not fully dominant.
Spectrum Characteristics: Moderate stereo width or reverb, subtle airflow noise, gentle modulation in amplitude or pitch.
Example Labels: ""Breathing"", ""Wind in leaves"", ""Birdsong"", ""Humming"", ""Room tone""

1 = Full Air Presence:
Sounds dominated by open space, wind, breath, or gaseous flow, evoking lightness, movement, or elevation.
Spectrum Characteristics: High frequency energy with airy texture, wide stereo field, ambient or slowly evolving energy envelope.
Example Labels: ""Wind"", ""Hurricane"", ""Gust"", ""Air conditioner"", ""Blowing""",,
Metal,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic presence of metallic material — whether through literal metal impacts, resonance, or symbolic qualities like hardness, sharpness, and industrial aesthetics.
0 = No Metal Presence:
Sounds without any metallic resonance, timbre, or surface characteristics. These are generally organic, soft, or non-reflective.
Spectrum Characteristics: Dull, dampened transients; low-mid frequency focus; lack of high-frequency resonance.
Example Labels: ""Speech"", ""Wood knocking"", ""Rustling"", ""Typing"", ""Fabric rustle""

0.5 = Partial Metal Presence:
Sounds that include some metallic elements, such as tools, utensils, or hybrid materials, but are not fully metallic in character.
Spectrum Characteristics: Mid-high frequency transients; short metallic rings; moderate resonance.
Example Labels: ""Hammer"", ""Cutlery"", ""Bell"", ""Bike bell"", ""Metallic scrape""

1 = Full Metal Presence:
Sounds dominated by metallic surfaces, structures, or vibrations — including industrial, mechanical, or sharp metallic events.
Spectrum Characteristics: Strong transients, long high-frequency resonance tails, broadband clanging or scraping sounds.
Example Labels: ""Chainsaw"", ""Metal impact"", ""Welding"", ""Steel drum"", ""Sword""",,
Wood,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic presence of wooden material — either directly through surface contact or symbolically through organic, warm, or traditional tones.

0 = No Wood Presence:
Sounds that contain no wood-based material interactions — synthetic, metallic, or liquid-focused.
Spectrum Characteristics: Sharp or artificial transients, metallic resonance or synthetic envelopes, minimal mid-warmth.
Example Labels: ""Glass breaking"", ""Typing"", ""Electric beep"", ""Plastic creak"", ""Air horn""

0.5 = Partial Wood Presence:
Sounds that include wooden surfaces (e.g., knocking, floor creaks) as part of a larger mix of materials.
Spectrum Characteristics: Low-mid rich transients, short natural decay, slight resonance, hollow knocks.
Example Labels: ""Door knock"", ""Footsteps on wood"", ""Creak"", ""Cabinet closing""

1 = Full Wood Presence:
Sounds dominated by wood-based sources, such as instruments, timber, trees, or wooden impacts.
Spectrum Characteristics: Warm midrange tones, percussive but soft-edged transients, short resonance tails.
Example Labels: ""Acoustic guitar"", ""Woodblock"", ""Tree falling"", ""Wood knock"", ""Violin""",,
Glass,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory presence of glass or fragile, transparent materials — either literally (shards, panes, bottles) or symbolically (clarity, fragility, resonance).
0 = No Glass Presence:
Sounds with no evidence of fragility, transparency, or brittle resonance, instead solid, opaque, or dull in texture.
Spectrum Characteristics: Broad-band or muffled profiles, dominance of low or mid energy, absence of sharp overtones.
Example Labels: “Drum”, “Engine noise”, “Thunder”, “Stone hit”, “Wood knock”
0.5 = Partial Glass Presence:
Sounds involving some glass-like quality, such as subtle resonance, faint brightness, or incidental contact with glass surfaces.
Spectrum Characteristics: Mid-to-high transient spikes, harmonic brightness, thin resonance overlay.
Example Labels: “Bottle clink”, “Light bulb ping”, “Cutlery on glass”, “Small chime”, “Distant window rattle”
1 = Full Glass Presence:
Sounds dominated by glass, shards, or resonant transparent structures — evoking fragility, clarity, or crystalline brilliance.
Spectrum Characteristics: Sharp high-frequency peaks, ringing resonances, brittle transients, sustained tonal shimmer.
Example Labels: “Shattering glass”, “Crystal resonance”, “Wine glass tone”, “Window break”, “Glass harmonica”",,
Stone,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory presence of stone or solid mineral materials — either literally (rocks, gravel) or symbolically (weight, permanence, silence).

0 = No Stone Presence:
Sounds with no evidence of mineral mass or contact, light in tone or artificial in texture.
Spectrum Characteristics: High-pitched or clean transient profiles, lack of low-end impact or irregular weight.
Example Labels: ""Speech"", ""Rain"", ""Birdsong"", ""Glass ping"", ""Typing""

0.5 = Partial Stone Presence:
Sounds involving some stone texture or grounding, such as walking on stone or striking it lightly.
Spectrum Characteristics: Mid-low percussive impacts, grainy texture, shallow low-end body.
Example Labels: ""Footsteps on pavement"", ""Pebbles"", ""Door slam"", ""Small rocks""

1 = Full Stone Presence:
Sounds dominated by rock, gravel, concrete, or heavy mineral structures — evoking solidity, structure, or erosion.
Spectrum Characteristics: Dense low-mid energy, irregular and powerful impacts, dry transients with minimal resonance.
Example Labels: ""Rockslide"", ""Earthquake"", ""Gravel"", ""Rubble collapse"", ""Stone carving""",,
